ID,RefNode
14,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
101,0
102,0
103,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
133,0
134,0
135,0
137,0
138,0
139,0
140,0
141,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
161,0
162,0
163,0
164,0
169,0
170,0
171,0
173,0
174,0
175,0
176,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
223,0
224,0
225,0
226,0
227,0
228,0
244,0
245,0
246,0
248,0
249,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
281,0
298,0
299,0
300,0
301,0
303,0
304,0
305,0
307,0
308,0
309,0
310,0
314,0
315,0
316,0
317,0
318,0
320,0
322,0
323,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
365,0
366,0
367,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
377,0
378,0
379,0
381,0
384,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
415,0
416,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
444,0
445,0
446,0
447,0
448,0
449,0
454,0
455,0
456,0
457,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
499,0
500,0
501,0
502,0
503,0
506,0
507,0
512,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
525,0
526,0
527,0
528,0
530,0
532,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
546,0
547,0
548,0
549,0
554,0
555,0
556,0
559,0
560,0
561,0
562,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
573,0
574,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
591,0
592,0
594,0
595,0
596,0
597,0
599,0
601,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
622,0
623,0
625,0
626,0
627,0
628,0
629,0
630,0
633,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
647,0
651,0
652,0
653,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
663,0
664,0
666,0
667,0
668,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
681,0
682,0
683,0
684,0
685,0
689,0
691,0
692,0
693,0
694,0
697,0
698,0
699,0
700,0
701,0
703,0
705,0
706,0
707,0
708,0
730,0
731,0
733,0
734,0
737,0
738,0
739,0
740,0
741,0
742,0
746,0
747,0
748,0
749,0
751,0
753,0
754,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
767,0
768,0
769,0
770,0
772,0
773,0
774,0
776,0
777,0
778,0
779,0
782,0
783,0
787,0
789,0
790,0
791,0
792,0
793,0
798,0
799,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
810,0
811,0
815,0
816,0
818,0
819,0
820,0
821,0
822,0
824,0
825,0
826,0
829,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
847,0
849,0
851,0
852,0
853,0
854,0
855,0
858,0
859,0
860,0
861,0
863,0
865,0
869,0
873,0
874,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
886,0
887,0
888,0
889,0
890,0
894,0
895,0
896,0
898,0
899,0
900,0
901,0
910,0
911,0
912,0
917,0
919,0
920,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
936,0
937,0
938,0
939,0
941,0
944,0
945,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1094,0
1095,0
1096,0
1097,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1269,0
1270,0
1271,0
1274,0
1275,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
