ID,QtBid
1,91
1,92
2,93
2,94
3,95
3,96
4,337
4,338
4,339
4,340
4,341
4,342
4,343
4,344
5,345
5,346
5,347
5,348
5,349
5,350
5,351
5,352
6,353
6,354
6,355
6,356
6,357
6,358
6,359
6,360
7,361
7,362
7,363
7,364
7,365
7,366
7,367
7,368
8,369
8,370
8,371
8,372
8,373
8,374
8,375
8,376
9,377
9,378
9,379
9,380
9,381
9,382
9,383
9,384
10,385
10,386
10,387
10,388
10,389
10,390
10,391
10,392
11,393
11,394
11,395
11,396
11,397
11,398
11,399
11,400
12,401
12,402
12,403
12,404
12,405
12,406
12,407
12,408
13,409
13,410
13,411
13,412
13,413
13,414
13,415
13,416
14,417
14,418
14,419
14,420
14,421
14,422
14,423
14,424
15,425
15,426
15,427
15,428
15,429
15,430
15,431
15,432
16,433
16,434
16,435
16,436
16,437
16,438
16,439
16,440
17,441
17,442
17,443
17,444
17,445
17,446
17,447
17,448
